ATL,Hartsfield-Jackson Atlanta International
BOS,Logan International
BWI,Baltimore/Washington International Thurgood Marshall
CLT,Charlotte Douglas International
DCA
DEN,Denver International
DFW,Dallas/Fort Worth International
DTW,Detroit Metro Wayne County
EWR,Newark Liberty International
FLL,Fort Lauderdale-Hollywood International
IAD,Washington Dulles International
IAH,George Bush Intercontinental/Houston
John F. Kennedy International
LAS,McCarran International
LAX,Los Angeles International
LGA,LaGuardia
MCO,Orlando International
MDW,Chicago Midway International
MIA,Miami International
MSP,Minneapolis-St Paul International
ORD,Chicago O'Hare International
PDX,Portland International
PHL,Philadelphia International
PHX,Phoenix Sky Harbor International
SAN,San Diego International
SEA,Seattle/Tacoma International
SFO,San Francisco International
SLC,Salt Lake City International
TPA,Tampa International
