ATL,2003/06,216,5843,27
BOS,2003/06,138,1623,3,7875
BWI,2003/06,29,1245,15,6998
CLT,2003/06,73,1562,14,7021
DCA,2003/06,74,1100,18,5321
DEN,2003/06,34,1611,22,10024
DFW,2003/06,394,4798,133,22303
DTW,2003/06,123,1395,9,10227
EWR,2003/06,102,2921,42,9441
FLL,2003/06,13,967,10,3672
IAD,2003/06,101,1256,35,7027
IAH,2003/06,91,2601,173,12686
JFK,2003/06,24,1046,13,4695
LAS,2003/06,39,1893,6,9821
LAX,2003/06,101,2571,10,15780
LGA,2003/06,121,1604,22,7161
MCO,2003/06,9,1388,9,6211
MDW,2003/06,47,951,6,6057
MIA,2003/06,28,1105,22,3745
MSP,2003/06,101,1678,11,10404
ORD,2003/06,261,4899,38,24997
PDX,2003/06,17,684,5,4040
PHL,2003/06,83,2049,20,6917
PHX,2003/06,57,1783,10,12158
SAN,2003/06,20,1052,4,5775
SEA,2003/06,63,1516,9,7658
SFO,2003/06,83,1880,9,8211
SLC,2003/06,34,1057,0,9491
TPA,2003/06,12,1122,11,4256
ATL,2003/07,484,7452,71,22868
BOS,2003/07,226,1710,3,8033
BWI,2003/07,57,1679,20,6855
CLT,2003/07,163,1895,24,6883
DCA,2003/07,181,1260,13,5241
DEN,2003/07,71,1753,9,10869
DFW,2003/07,274,5003,64,22982
DTW,2003/07,175,1891,22,10104
EWR,2003/07,285,2917,59,9797
FLL,2003/07,19,1041,1,3785
IAD,2003/07,217,1567,14,6990
IAH,2003/07,90,3031,77,13269
JFK,2003/07,32,1082,24,5067
LAS,2003/07,73,1998,52,10083
LAX,2003/07,145,2380,10,16760
LGA,2003/07,285,1934,63,7012
MCO,2003/07,19,1834,10,6163
MDW,2003/07,62,1531,51,5655
MIA,2003/07,44,1216,17,3849
MSP,2003/07,141,1930,13,10766
ORD,2003/07,1258,7259,135,22693
PDX,2003/07,25,716,2,4273
PHL,2003/07,198,2257,21,6876
PHX,2003/07,96,1909,27,12378
SAN,2003/07,34,1155,14,5974
SEA,2003/07,82,1654,5,8251
SFO,2003/07,79,1464,8,9192
SLC,2003/07,58,1093,11,9782
TPA,2003/07,18,1135,9,4452
ATL,2003/08,364,7829,56,23056
BOS,2003/08,292,2256,15,7370
BWI,2003/08,66,1931,41,6598
CLT,2003/08,189,1882,36,6841
DCA,2003/08,262,1554,41,4886
DEN,2003/08,79,1582,9,11122
DFW,2003/08,466,4951,169,22370
DTW,2003/08,412,2096,52,9620
EWR,2003/08,431,3881,111,8599
FLL,2003/08,36,1220,14,3555
IAD,2003/08,190,1813,40,6715
IAH,2003/08,104,2291,68,13522
JFK,2003/08,205,1717,66,4239
LAS,2003/08,70,1884,10,10293
LAX,2003/08,141,2333,9,16770
LGA,2003/08,597,2465,82,6158
MCO,2003/08,48,1878,30,6032
MDW,2003/08,77,1152,13,6035
MIA,2003/08,97,1385,13,3663
MSP,2003/08,182,1724,6,10975
ORD,2003/08,941,6236,138,23806
PDX,2003/08,26,693,4,4249
PHL,2003/08,242,2590,31,6527
PHX,2003/08,117,1942,14,12284
SAN,2003/08,27,1062,5,6105
SEA,2003/08,113,1661,12,8229
SFO,2003/08,96,1876,5,8755
SLC,2003/08,74,1271,28,9626
TPA,2003/08,37,1129,19,4317
BOS,2003/09,257,1398,13,7860
BWI,2003/09,205,930,43,7031
CLT,2003/09,145,929,1,7399
ATL,2003/09,359,3936,33,26049
DCA,2003/09,354,894,29,5230
DEN,2003/09,50,900,6,11120
DFW,2003/09,571,2562,97,23815
DTW,2003/09,144,1147,13,10032
EWR,2003/09,596,4699,14,6880
FLL,2003/09,35,701,3,3884
IAD,2003/09,320,966,20,7113
IAH,2003/09,107,1958,57,13010
JFK,2003/09,34,896,13,4868

LAS,2003/09,68,1207,2,10628
LAX,2003/09,171,1496,9,16520
LGA,2003/09,341,1684,11,6735
MCO,2003/09,63,857,9,6219
MDW,2003/09,70,632,9,6509
MIA,2003/09,67,784,10,3871
MSP,2003/09,117,1390,13,10023
ORD,2003/09,433,4889,31,24285
PDX,2003/09,44,428,1,4144
PHL,2003/09,206,1806,33,6902
PHX,2003/09,146,1138,8,12372
SAN,2003/09,48,584,6,6250
SEA,2003/09,86,972,16,7712
